Date,Day,Name,Type
01/01/2013,Tuesday,New Year's Day,Official Holiday
02/01/2013,Wednesday,Second Day of New Year,Official Holiday
07/01/2013,Monday,Christmas Day,Official Holiday
15/02/2013,Friday,Day of Ashakalia,Observance
17/02/2013,Sunday,Independence Day of the Republic of Kosovo,Official Holiday
18/02/2013,Monday,Day off for Independence Day of the Republic of Kosovo,Official Holiday
06/03/2013,Wednesday,Day of Memorial and Respect for Veterans,Observance
20/03/2013,Wednesday,March Equinox,Season
31/03/2013,Sunday,Easter,Official Holiday
31/03/2013,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2013,Monday,Easter Monday,Official Holiday
08/04/2013,Monday,Day of Romas,Observance
09/04/2013,Tuesday,Constitution Day of the Republic of Kosovo,Official Holiday
23/04/2013,Tuesday,Day of Turks,Observance
01/05/2013,Wednesday,International Labour Day,Official Holiday
05/05/2013,Sunday,Orthodox Easter Day,Official Holiday
06/05/2013,Monday,Orthodox Easter Monday,Official Holiday
06/05/2013,Monday,Day of Gorans,Observance
09/05/2013,Thursday,Europe Day,Official Holiday
12/06/2013,Wednesday,Peace Day,Observance
21/06/2013,Friday,June Solstice,Season
08/08/2013,Thursday,Eid al-Fitr,Official Holiday
22/09/2013,Sunday,September Equinox,Season
28/09/2013,Saturday,Day of Bosnians,Observance
15/10/2013,Tuesday,Kurban Bayrami,Official Holiday
27/10/2013,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
28/11/2013,Thursday,Day of Albanians,Observance
21/12/2013,Saturday,December Solstice,Season
25/12/2013,Wednesday,Christmas Day,Official Holiday
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,Official Holiday
02/01/2014,Thursday,Second Day of New Year,Official Holiday
07/01/2014,Tuesday,Christmas Day,Official Holiday
15/02/2014,Saturday,Day of Ashakalia,Observance
17/02/2014,Monday,Independence Day of the Republic of Kosovo,Official Holiday
06/03/2014,Thursday,Day of Memorial and Respect for Veterans,Observance
20/03/2014,Thursday,March Equinox,Season
30/03/2014,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/04/2014,Tuesday,Day of Romas,Observance
09/04/2014,Wednesday,Constitution Day of the Republic of Kosovo,Official Holiday
20/04/2014,Sunday,Orthodox Easter Day,Official Holiday
20/04/2014,Sunday,Easter,Official Holiday
21/04/2014,Monday,Orthodox Easter Monday,Official Holiday
21/04/2014,Monday,Easter Monday,Official Holiday
23/04/2014,Wednesday,Day of Turks,Observance
01/05/2014,Thursday,International Labour Day,Official Holiday
06/05/2014,Tuesday,Day of Gorans,Observance
09/05/2014,Friday,Europe Day,Official Holiday
12/06/2014,Thursday,Peace Day,Observance
21/06/2014,Saturday,June Solstice,Season
29/07/2014,Tuesday,Eid al-Fitr,Official Holiday
23/09/2014,Tuesday,September Equinox,Season
28/09/2014,Sunday,Day of Bosnians,Observance
05/10/2014,Sunday,Kurban Bayrami,Official Holiday
26/10/2014,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
28/11/2014,Friday,Day of Albanians,Observance
22/12/2014,Monday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Official Holiday
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,Official Holiday
02/01/2015,Friday,Second Day of New Year,Official Holiday
07/01/2015,Wednesday,Christmas Day,Official Holiday
15/02/2015,Sunday,Day of Ashakalia,Observance
17/02/2015,Tuesday,Independence Day of the Republic of Kosovo,Official Holiday
06/03/2015,Friday,Day of Memorial and Respect for Veterans,Observance
20/03/2015,Friday,March Equinox,Season
29/03/2015,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
05/04/2015,Sunday,Easter,Official Holiday
06/04/2015,Monday,Easter Monday,Official Holiday
08/04/2015,Wednesday,Day of Romas,Observance
09/04/2015,Thursday,Constitution Day of the Republic of Kosovo,Official Holiday
12/04/2015,Sunday,Orthodox Easter Day,Official Holiday
13/04/2015,Monday,Orthodox Easter Monday,Official Holiday
23/04/2015,Thursday,Day of Turks,Observance
01/05/2015,Friday,International Labour Day,Official Holiday
06/05/2015,Wednesday,Day of Gorans,Observance
09/05/2015,Saturday,Europe Day,Official Holiday
11/05/2015,Monday,Day off for Europe Day,Official Holiday
12/06/2015,Friday,Peace Day,Observance
21/06/2015,Sunday,June Solstice,Season
18/07/2015,Saturday,Eid al-Fitr,Official Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Kurban Bayrami,Official Holiday
28/09/2015,Monday,Day of Bosnians,Observance
25/10/2015,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
28/11/2015,Saturday,Day of Albanians,Observance
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Official Holiday
31/12/2015,Thursday,New Year's Eve,Observance
01/01/2016,Friday,New Year's Day,Official Holiday
02/01/2016,Saturday,Second Day of New Year,Official Holiday
04/01/2016,Monday,Day off for Second Day of New Year,Official Holiday
07/01/2016,Thursday,Christmas Day,Official Holiday
15/02/2016,Monday,Day of Ashakalia,Observance
17/02/2016,Wednesday,Independence Day of the Republic of Kosovo,Official Holiday
06/03/2016,Sunday,Day of Memorial and Respect for Veterans,Observance
20/03/2016,Sunday,March Equinox,Season
27/03/2016,Sunday,Easter,Official Holiday
27/03/2016,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
28/03/2016,Monday,Easter Monday,Official Holiday
08/04/2016,Friday,Day of Romas,Observance
09/04/2016,Saturday,Constitution Day of the Republic of Kosovo,Official Holiday
11/04/2016,Monday,Day off for Constitution Day of the Republic of Kosovo,Official Holiday
23/04/2016,Saturday,Day of Turks,Observance
01/05/2016,Sunday,Orthodox Easter Day,Official Holiday
01/05/2016,Sunday,International Labour Day,Official Holiday
02/05/2016,Monday,Orthodox Easter Monday,Official Holiday
02/05/2016,Monday,Day off for International Labour Day,Official Holiday
06/05/2016,Friday,Day of Gorans,Observance
09/05/2016,Monday,Europe Day,Official Holiday
12/06/2016,Sunday,Peace Day,Observance
21/06/2016,Tuesday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,Official Holiday
13/09/2016,Tuesday,Kurban Bayrami,Official Holiday
22/09/2016,Thursday,September Equinox,Season
28/09/2016,Wednesday,Day of Bosnians,Observance
30/10/2016,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
28/11/2016,Monday,Day of Albanians,Observance
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Official Holiday
26/12/2016,Monday,Day off for Christmas Day,Official Holiday
