Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
14/02/2000,Monday,Valentine's Day,Observance
07/03/2000,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Optional Holiday
19/03/2000,Sunday,St. Joseph's Day,District Holiday
19/03/2000,Sunday,Father's Day,Observance
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
21/04/2000,Friday,Good Friday,National holiday
23/04/2000,Sunday,Easter Sunday,National holiday
25/04/2000,Tuesday,Liberty Day,National holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
07/05/2000,Sunday,Mother's Day,Observance
12/05/2000,Friday,St. Joana's Day,District Holiday
22/05/2000,Monday,Leiria Day,District Holiday
23/05/2000,Tuesday,Portalegre Day,District Holiday
01/06/2000,Thursday,Ascension Day,District Holiday
10/06/2000,Saturday,Portugal Day,National holiday
12/06/2000,Monday,Azores Day,Regional Holiday
13/06/2000,Tuesday,St. Anthony's Day,District Holiday
21/06/2000,Wednesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,National holiday
24/06/2000,Saturday,St. John's Day,District Holiday
29/06/2000,Thursday,St. Peter's Day,District Holiday
01/07/2000,Saturday,Madeira Day,Regional Holiday
04/07/2000,Tuesday,St. Elizabeth's Day,District Holiday
15/08/2000,Tuesday,Assumption of Mary,National holiday
20/08/2000,Sunday,Our Lady of Sorrows,District Holiday
22/08/2000,Tuesday,Our Lady of Graces,District Holiday
07/09/2000,Thursday,Faro Day,District Holiday
15/09/2000,Friday,Birth of Bocage,District Holiday
21/09/2000,Thursday,St. Matthew's Day,District Holiday
22/09/2000,Friday,September Equinox,Season
05/10/2000,Thursday,Republic Day,National holiday
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2000,Wednesday,All Saints' Day,National holiday
27/11/2000,Monday,Foral of Sancho I,District Holiday
01/12/2000,Friday,Restoration of Independence,National holiday
08/12/2000,Friday,Feast of the Immaculate Conception,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
14/02/2001,Wednesday,Valentine's Day,Observance
27/02/2001,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Optional Holiday
19/03/2001,Monday,St. Joseph's Day,District Holiday
19/03/2001,Monday,Father's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
13/04/2001,Friday,Good Friday,National holiday
15/04/2001,Sunday,Easter Sunday,National holiday
25/04/2001,Wednesday,Liberty Day,National holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
06/05/2001,Sunday,Mother's Day,Observance
12/05/2001,Saturday,St. Joana's Day,District Holiday
22/05/2001,Tuesday,Leiria Day,District Holiday
23/05/2001,Wednesday,Portalegre Day,District Holiday
24/05/2001,Thursday,Ascension Day,District Holiday
04/06/2001,Monday,Azores Day,Regional Holiday
10/06/2001,Sunday,Portugal Day,National holiday
13/06/2001,Wednesday,St. Anthony's Day,District Holiday
14/06/2001,Thursday,Corpus Christi,National holiday
21/06/2001,Thursday,June Solstice,Season
24/06/2001,Sunday,St. John's Day,District Holiday
29/06/2001,Friday,St. Peter's Day,District Holiday
01/07/2001,Sunday,Madeira Day,Regional Holiday
04/07/2001,Wednesday,St. Elizabeth's Day,District Holiday
15/08/2001,Wednesday,Assumption of Mary,National holiday
20/08/2001,Monday,Our Lady of Sorrows,District Holiday
22/08/2001,Wednesday,Our Lady of Graces,District Holiday
07/09/2001,Friday,Faro Day,District Holiday
15/09/2001,Saturday,Birth of Bocage,District Holiday
21/09/2001,Friday,St. Matthew's Day,District Holiday
23/09/2001,Sunday,September Equinox,Season
05/10/2001,Friday,Republic Day,National holiday
28/10/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2001,Thursday,All Saints' Day,National holiday
