Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
03/02/2000,Thursday,Mozambican Heroes Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
07/04/2000,Friday,Mozambican Woman's Day,Public Holiday
21/04/2000,Friday,Good Friday,Observance
01/05/2000,Monday,May Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
25/06/2000,Sunday,Independence Day,Public Holiday
26/06/2000,Monday,Independence Day observed,Public Holiday
07/09/2000,Thursday,Victory Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
25/09/2000,Monday,Armed Forces Day,Public Holiday
04/10/2000,Wednesday,Peace and Reconciliation Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Family Day,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
03/02/2001,Saturday,Mozambican Heroes Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
07/04/2001,Saturday,Mozambican Woman's Day,Public Holiday
13/04/2001,Friday,Good Friday,Observance
01/05/2001,Tuesday,May Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
25/06/2001,Monday,Independence Day,Public Holiday
07/09/2001,Friday,Victory Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
25/09/2001,Tuesday,Armed Forces Day,Public Holiday
04/10/2001,Thursday,Peace and Reconciliation Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Family Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
03/02/2002,Sunday,Mozambican Heroes Day,Public Holiday
04/02/2002,Monday,Mozambican Heroes Day observed,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Observance
07/04/2002,Sunday,Mozambican Woman's Day,Public Holiday
08/04/2002,Monday,Mozambican Woman's Day observed,Public Holiday
01/05/2002,Wednesday,May Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
25/06/2002,Tuesday,Independence Day,Public Holiday
07/09/2002,Saturday,Victory Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
25/09/2002,Wednesday,Armed Forces Day,Public Holiday
04/10/2002,Friday,Peace and Reconciliation Day,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Family Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
03/02/2003,Monday,Mozambican Heroes Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
07/04/2003,Monday,Mozambican Woman's Day,Public Holiday
18/04/2003,Friday,Good Friday,Observance
01/05/2003,Thursday,May Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
25/06/2003,Wednesday,Independence Day,Public Holiday
07/09/2003,Sunday,Victory Day,Public Holiday
08/09/2003,Monday,Victory Day observed,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
25/09/2003,Thursday,Armed Forces Day,Public Holiday
04/10/2003,Saturday,Peace and Reconciliation Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Family Day,Public Holiday
01/01/2004,Thursday,New Year,Public Holiday
03/02/2004,Tuesday,Mozambican Heroes Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
07/04/2004,Wednesday,Mozambican Woman's Day,Public Holiday
09/04/2004,Friday,Good Friday,Observance
01/05/2004,Saturday,May Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
25/06/2004,Friday,Independence Day,Public Holiday
07/09/2004,Tuesday,Victory Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
25/09/2004,Saturday,Armed Forces Day,Public Holiday
04/10/2004,Monday,Peace and Reconciliation Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Family Day,Public Holiday
01/01/2005,Saturday,New Year,Public Holiday
03/02/2005,Thursday,Mozambican Heroes Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Observance
07/04/2005,Thursday,Mozambican Woman's Day,Public Holiday
01/05/2005,Sunday,May Day,Public Holiday
02/05/2005,Monday,May Day observed,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
25/06/2005,Saturday,Independence Day,Public Holiday
07/09/2005,Wednesday,Victory Day,Public Holiday
23/09/2005,Friday,September Equinox,Season
25/09/2005,Sunday,Armed Forces Day,Public Holiday
26/09/2005,Monday,Armed Forces Day observed,Public Holiday
04/10/2005,Tuesday,Peace and Reconciliation Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Family Day,Public Holiday
26/12/2005,Monday,Family Day observed,Public Holiday
01/01/2006,Sunday,New Year,Public Holiday
02/01/2006,Monday,New Year observed,Public Holiday
03/02/2006,Friday,Mozambican Heroes Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
07/04/2006,Friday,Mozambican Woman's Day,Public Holiday
14/04/2006,Friday,Good Friday,Observance
01/05/2006,Monday,May Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
25/06/2006,Sunday,Independence Day,Public Holiday
26/06/2006,Monday,Independence Day observed,Public Holiday
07/09/2006,Thursday,Victory Day,Public Holiday
23/09/2006,Saturday,September Equinox,Season
25/09/2006,Monday,Armed Forces Day,Public Holiday
04/10/2006,Wednesday,Peace and Reconciliation Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
25/12/2006,Monday,Family Day,Public Holiday
01/01/2007,Monday,New Year,Public Holiday
03/02/2007,Saturday,Mozambican Heroes Day,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
06/04/2007,Friday,Good Friday,Observance
07/04/2007,Saturday,Mozambican Woman's Day,Public Holiday
01/05/2007,Tuesday,May Day,Public Holiday
21/06/2007,Thursday,June Solstice,Season
25/06/2007,Monday,Independence Day,Public Holiday
07/09/2007,Friday,Victory Day,Public Holiday
23/09/2007,Sunday,September Equinox,Season
25/09/2007,Tuesday,Armed Forces Day,Public Holiday
04/10/2007,Thursday,Peace and Reconciliation Day,Public Holiday
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Family Day,Public Holiday
01/01/2008,Tuesday,New Year,Public Holiday
03/02/2008,Sunday,Mozambican Heroes Day,Public Holiday
04/02/2008,Monday,Mozambican Heroes Day observed,Public Holiday
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,Observance
07/04/2008,Monday,Mozambican Woman's Day,Public Holiday
01/05/2008,Thursday,May Day,Public Holiday
21/06/2008,Saturday,June Solstice,Season
25/06/2008,Wednesday,Independence Day,Public Holiday
07/09/2008,Sunday,Victory Day,Public Holiday
08/09/2008,Monday,Victory Day observed,Public Holiday
22/09/2008,Monday,September Equinox,Season
25/09/2008,Thursday,Armed Forces Day,Public Holiday
04/10/2008,Saturday,Peace and Reconciliation Day,Public Holiday
21/12/2008,Sunday,December Solstice,Season
25/12/2008,Thursday,Family Day,Public Holiday
01/01/2009,Thursday,New Year,Public Holiday
03/02/2009,Tuesday,Mozambican Heroes Day,Public Holiday
20/03/2009,Friday,March Equinox,Season
07/04/2009,Tuesday,Mozambican Woman's Day,Public Holiday
10/04/2009,Friday,Good Friday,Observance
01/05/2009,Friday,May Day,Public Holiday
21/06/2009,Sunday,June Solstice,Season
25/06/2009,Thursday,Independence Day,Public Holiday
07/09/2009,Monday,Victory Day,Public Holiday
22/09/2009,Tuesday,September Equinox,Season
25/09/2009,Friday,Armed Forces Day,Public Holiday
04/10/2009,Sunday,Peace and Reconciliation Day,Public Holiday
05/10/2009,Monday,Peace and Reconciliation Day observed,Public Holiday
21/12/2009,Monday,December Solstice,Season
25/12/2009,Friday,Family Day,Public Holiday
01/01/2010,Friday,New Year,Public Holiday
03/02/2010,Wednesday,Mozambican Heroes Day,Public Holiday
20/03/2010,Saturday,March Equinox,Season
02/04/2010,Friday,Good Friday,Observance
07/04/2010,Wednesday,Mozambican Woman's Day,Public Holiday
01/05/2010,Saturday,May Day,Public Holiday
21/06/2010,Monday,June Solstice,Season
25/06/2010,Friday,Independence Day,Public Holiday
07/09/2010,Tuesday,Victory Day,Public Holiday
23/09/2010,Thursday,September Equinox,Season
25/09/2010,Saturday,Armed Forces Day,Public Holiday
04/10/2010,Monday,Peace and Reconciliation Day,Public Holiday
22/12/2010,Wednesday,December Solstice,Season
25/12/2010,Saturday,Family Day,Public Holiday
01/01/2011,Saturday,New Year,Public Holiday
03/02/2011,Thursday,Mozambican Heroes Day,Public Holiday
21/03/2011,Monday,March Equinox,Season
07/04/2011,Thursday,Mozambican Woman's Day,Public Holiday
22/04/2011,Friday,Good Friday,Observance
01/05/2011,Sunday,May Day,Public Holiday
02/05/2011,Monday,May Day observed,Public Holiday
21/06/2011,Tuesday,June Solstice,Season
25/06/2011,Saturday,Independence Day,Public Holiday
07/09/2011,Wednesday,Victory Day,Public Holiday
23/09/2011,Friday,September Equinox,Season
25/09/2011,Sunday,Armed Forces Day,Public Holiday
26/09/2011,Monday,Armed Forces Day observed,Public Holiday
04/10/2011,Tuesday,Peace and Reconciliation Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
25/12/2011,Sunday,Family Day,Public Holiday
26/12/2011,Monday,Family Day observed,Public Holiday
01/01/2012,Sunday,New Year,Public Holiday
02/01/2012,Monday,New Year observed,Public Holiday
03/02/2012,Friday,Mozambican Heroes Day,Public Holiday
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,Observance
07/04/2012,Saturday,Mozambican Woman's Day,Public Holiday
01/05/2012,Tuesday,May Day,Public Holiday
21/06/2012,Thursday,June Solstice,Season
25/06/2012,Monday,Independence Day,Public Holiday
07/09/2012,Friday,Victory Day,Public Holiday
22/09/2012,Saturday,September Equinox,Season
25/09/2012,Tuesday,Armed Forces Day,Public Holiday
04/10/2012,Thursday,Peace and Reconciliation Day,Public Holiday
21/12/2012,Friday,December Solstice,Season
25/12/2012,Tuesday,Family Day,Public Holiday
01/01/2013,Tuesday,New Year,Public Holiday
03/02/2013,Sunday,Mozambican Heroes Day,Public Holiday
04/02/2013,Monday,Mozambican Heroes Day observed,Public Holiday
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Observance
07/04/2013,Sunday,Mozambican Woman's Day,Public Holiday
08/04/2013,Monday,Mozambican Woman's Day observed,Public Holiday
01/05/2013,Wednesday,May Day,Public Holiday
21/06/2013,Friday,June Solstice,Season
25/06/2013,Tuesday,Independence Day,Public Holiday
07/09/2013,Saturday,Victory Day,Public Holiday
22/09/2013,Sunday,September Equinox,Season
25/09/2013,Wednesday,Armed Forces Day,Public Holiday
04/10/2013,Friday,Peace and Reconciliation Day,Public Holiday
21/12/2013,Saturday,December Solstice,Season
25/12/2013,Wednesday,Family Day,Public Holiday
01/01/2014,Wednesday,New Year,Public Holiday
03/02/2014,Monday,Mozambican Heroes Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
07/04/2014,Monday,Mozambican Woman's Day,Public Holiday
18/04/2014,Friday,Good Friday,Observance
01/05/2014,Thursday,May Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
25/06/2014,Wednesday,Independence Day,Public Holiday
07/09/2014,Sunday,Victory Day,Public Holiday
08/09/2014,Monday,Victory Day observed,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
25/09/2014,Thursday,Armed Forces Day,Public Holiday
