Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
14/02/2000,Monday,Valentine's Day,Observance
16/02/2000,Wednesday,Independence Restoration Day,National holiday
07/03/2000,Tuesday,Carnival,Observance
11/03/2000,Saturday,Independence Day/National Day,National holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Observance
22/04/2000,Saturday,Holy Saturday,Observance
23/04/2000,Sunday,Easter Sunday,National holiday
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labour Day,National holiday
07/05/2000,Sunday,Mothers' Day,Observance
04/06/2000,Sunday,Fathers' Day,Observance
21/06/2000,Wednesday,June Solstice,Season
24/06/2000,Saturday,St John's Day/Day of Dew,National holiday
06/07/2000,Thursday,King Mindaugas’ Coronation Day,National holiday
15/08/2000,Tuesday,Feast of the Assumption of Mary,National holiday
22/09/2000,Friday,September Equinox,Season
31/10/2000,Tuesday,Halloween,Observance
01/11/2000,Wednesday,All Saints' Day,National holiday
02/11/2000,Thursday,All Souls' Day,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,National holiday
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Second Day of Christmas,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
14/02/2001,Wednesday,Valentine's Day,Observance
16/02/2001,Friday,Independence Restoration Day,National holiday
27/02/2001,Tuesday,Carnival,Observance
11/03/2001,Sunday,Independence Day/National Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Observance
14/04/2001,Saturday,Holy Saturday,Observance
15/04/2001,Sunday,Easter Sunday,National holiday
16/04/2001,Monday,Easter Monday,National holiday
01/05/2001,Tuesday,Labour Day,National holiday
06/05/2001,Sunday,Mothers' Day,Observance
03/06/2001,Sunday,Fathers' Day,Observance
21/06/2001,Thursday,June Solstice,Season
24/06/2001,Sunday,St John's Day/Day of Dew,National holiday
06/07/2001,Friday,King Mindaugas’ Coronation Day,National holiday
15/08/2001,Wednesday,Feast of the Assumption of Mary,National holiday
23/09/2001,Sunday,September Equinox,Season
31/10/2001,Wednesday,Halloween,Observance
01/11/2001,Thursday,All Saints' Day,National holiday
02/11/2001,Friday,All Souls' Day,National holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,National holiday
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,Second Day of Christmas,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
12/02/2002,Tuesday,Carnival,Observance
14/02/2002,Thursday,Valentine's Day,Observance
16/02/2002,Saturday,Independence Restoration Day,National holiday
11/03/2002,Monday,Independence Day/National Day,National holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Observance
30/03/2002,Saturday,Holy Saturday,Observance
31/03/2002,Sunday,Easter Sunday,National holiday
01/04/2002,Monday,Easter Monday,National holiday
01/05/2002,Wednesday,Labour Day,National holiday
05/05/2002,Sunday,Mothers' Day,Observance
02/06/2002,Sunday,Fathers' Day,Observance
21/06/2002,Friday,June Solstice,Season
24/06/2002,Monday,St John's Day/Day of Dew,National holiday
06/07/2002,Saturday,King Mindaugas’ Coronation Day,National holiday
15/08/2002,Thursday,Feast of the Assumption of Mary,National holiday
23/09/2002,Monday,September Equinox,Season
31/10/2002,Thursday,Halloween,Observance
01/11/2002,Friday,All Saints' Day,National holiday
02/11/2002,Saturday,All Souls' Day,National holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,National holiday
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,Second Day of Christmas,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
14/02/2003,Friday,Valentine's Day,Observance
16/02/2003,Sunday,Independence Restoration Day,National holiday
04/03/2003,Tuesday,Carnival,Observance
11/03/2003,Tuesday,Independence Day/National Day,National holiday
21/03/2003,Friday,March Equinox,Season
30/03/2003,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
18/04/2003,Friday,Good Friday,Observance
19/04/2003,Saturday,Holy Saturday,Observance
20/04/2003,Sunday,Easter Sunday,National holiday
21/04/2003,Monday,Easter Monday,National holiday
01/05/2003,Thursday,Labour Day,National holiday
04/05/2003,Sunday,Mothers' Day,Observance
01/06/2003,Sunday,Fathers' Day,Observance
21/06/2003,Saturday,June Solstice,Season
24/06/2003,Tuesday,St John's Day/Day of Dew,National holiday
06/07/2003,Sunday,King Mindaugas’ Coronation Day,National holiday
15/08/2003,Friday,Feast of the Assumption of Mary,National holiday
23/09/2003,Tuesday,September Equinox,Season
26/10/2003,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2003,Friday,Halloween,Observance
01/11/2003,Saturday,All Saints' Day,National holiday
02/11/2003,Sunday,All Souls' Day,National holiday
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,National holiday
25/12/2003,Thursday,Christmas Day,National holiday
26/12/2003,Friday,Second Day of Christmas,National holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
14/02/2004,Saturday,Valentine's Day,Observance
16/02/2004,Monday,Independence Restoration Day,National holiday
24/02/2004,Tuesday,Carnival,Observance
11/03/2004,Thursday,Independence Day/National Day,National holiday
20/03/2004,Saturday,March Equinox,Season
28/03/2004,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
09/04/2004,Friday,Good Friday,Observance
10/04/2004,Saturday,Holy Saturday,Observance
11/04/2004,Sunday,Easter Sunday,National holiday
12/04/2004,Monday,Easter Monday,National holiday
01/05/2004,Saturday,Labour Day,National holiday
02/05/2004,Sunday,Mothers' Day,Observance
06/06/2004,Sunday,Fathers' Day,Observance
21/06/2004,Monday,June Solstice,Season
24/06/2004,Thursday,St John's Day/Day of Dew,National holiday
06/07/2004,Tuesday,King Mindaugas’ Coronation Day,National holiday
15/08/2004,Sunday,Feast of the Assumption of Mary,National holiday
22/09/2004,Wednesday,September Equinox,Season
31/10/2004,Sunday,Halloween,Observance
31/10/2004,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2004,Monday,All Saints' Day,National holiday
02/11/2004,Tuesday,All Souls' Day,National holiday
21/12/2004,Tuesday,December Solstice,Season
24/12/2004,Friday,Christmas Eve,National holiday
25/12/2004,Saturday,Christmas Day,National holiday
26/12/2004,Sunday,Second Day of Christmas,National holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National holiday
08/02/2005,Tuesday,Carnival,Observance
