Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
14/02/2000,Monday,Day of Love and Friendship,Observance
20/03/2000,Monday,March Equinox,Season
20/04/2000,Thursday,Maundy Thursday,"National holiday, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
22/04/2000,Saturday,Holy Saturday,"Observance, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
30/05/2000,Tuesday,Mothers' Day,Observance
20/06/2000,Tuesday,June Solstice,Season
19/07/2000,Wednesday,The Sandinista Revolution Day,National holiday
01/08/2000,Tuesday,Santo Domingo Celebrations Start,Local holiday
10/08/2000,Thursday,Last Day of Santo Domingo Celebrations,Local holiday
02/09/2000,Saturday,Army Day,Observance
14/09/2000,Thursday,Battle of San Jacinto,National holiday
15/09/2000,Friday,Independence Day,National holiday
22/09/2000,Friday,September Equinox,Season
12/10/2000,Thursday,Columbus Day,Observance
02/11/2000,Thursday,All Souls' Day,Observance
08/12/2000,Friday,Feast of the Immaculate Conception,National holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year´s Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
14/02/2001,Wednesday,Day of Love and Friendship,Observance
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
14/04/2001,Saturday,Holy Saturday,"Observance, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
01/05/2001,Tuesday,Labor Day / May Day,National holiday
30/05/2001,Wednesday,Mothers' Day,Observance
21/06/2001,Thursday,June Solstice,Season
19/07/2001,Thursday,The Sandinista Revolution Day,National holiday
01/08/2001,Wednesday,Santo Domingo Celebrations Start,Local holiday
10/08/2001,Friday,Last Day of Santo Domingo Celebrations,Local holiday
02/09/2001,Sunday,Army Day,Observance
14/09/2001,Friday,Battle of San Jacinto,National holiday
15/09/2001,Saturday,Independence Day,National holiday
22/09/2001,Saturday,September Equinox,Season
12/10/2001,Friday,Columbus Day,Observance
02/11/2001,Friday,All Souls' Day,Observance
08/12/2001,Saturday,Feast of the Immaculate Conception,National holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2001,Monday,New Year´s Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
14/02/2002,Thursday,Day of Love and Friendship,Observance
20/03/2002,Wednesday,March Equinox,Season
