Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
02/01/2000,Sunday,Tweede Nuwe Jaar,Observance
03/01/2000,Monday,Laylatul Qadr (Night of Power),Muslim
08/01/2000,Saturday,Eid ul Fitr,Muslim
16/03/2000,Thursday,Eid al-Adha,Muslim
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Human Rights Day,Public Holiday
06/04/2000,Thursday,Muharram/Islamic New Year,Muslim
21/04/2000,Friday,Good Friday,Public Holiday
22/04/2000,Saturday,Holy Saturday,"Observance, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
24/04/2000,Monday,Family Day,Public Holiday
27/04/2000,Thursday,Freedom Day,Public Holiday
01/05/2000,Monday,Workers' Day,Public Holiday
15/06/2000,Thursday,Milad un Nabi (Mawlid),Muslim
15/06/2000,Thursday,School holiday,Observance
16/06/2000,Friday,Youth Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
09/08/2000,Wednesday,National Women's Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
24/09/2000,Sunday,Heritage Day,Public Holiday
25/09/2000,Monday,Day off for Heritage Day,Public Holiday
26/10/2000,Thursday,Isra and Mi'raj,Muslim
16/12/2000,Saturday,Day of Reconciliation,Public Holiday
21/12/2000,Thursday,December Solstice,Season
23/12/2000,Saturday,Laylatul Qadr (Night of Power),Muslim
24/12/2000,Sunday,Christmas Eve,"Observance, Christian"
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Day of Goodwill,Public Holiday
28/12/2000,Thursday,Eid ul Fitr,Muslim
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,Public Holiday
02/01/2001,Tuesday,Tweede Nuwe Jaar,Observance
06/03/2001,Tuesday,Eid al-Adha,Muslim
20/03/2001,Tuesday,March Equinox,Season
21/03/2001,Wednesday,Human Rights Day,Public Holiday
26/03/2001,Monday,Muharram/Islamic New Year,Muslim
13/04/2001,Friday,Good Friday,Public Holiday
14/04/2001,Saturday,Holy Saturday,"Observance, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
16/04/2001,Monday,Family Day,Public Holiday
27/04/2001,Friday,Freedom Day,Public Holiday
01/05/2001,Tuesday,Workers' Day,Public Holiday
04/06/2001,Monday,Milad un Nabi (Mawlid),Muslim
15/06/2001,Friday,School holiday,Observance
16/06/2001,Saturday,Youth Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
09/08/2001,Thursday,National Women's Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
24/09/2001,Monday,Heritage Day,Public Holiday
15/10/2001,Monday,Isra and Mi'raj,Muslim
12/12/2001,Wednesday,Laylatul Qadr (Night of Power),Muslim
16/12/2001,Sunday,Day of Reconciliation,Public Holiday
17/12/2001,Monday,Eid ul Fitr,Muslim
17/12/2001,Monday,Day off for Day of Reconciliation,Public Holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,"Observance, Christian"
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Day of Goodwill,Public Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,Public Holiday
02/01/2002,Wednesday,Tweede Nuwe Jaar,Observance
23/02/2002,Saturday,Eid al-Adha,Muslim
15/03/2002,Friday,Muharram/Islamic New Year,Muslim
20/03/2002,Wednesday,March Equinox,Season
21/03/2002,Thursday,Human Rights Day,Public Holiday
29/03/2002,Friday,Good Friday,Public Holiday
30/03/2002,Saturday,Holy Saturday,"Observance, Christian"
31/03/2002,Sunday,Easter Sunday,"Observance, Christian"
01/04/2002,Monday,Family Day,Public Holiday
27/04/2002,Saturday,Freedom Day,Public Holiday
01/05/2002,Wednesday,Workers' Day,Public Holiday
24/05/2002,Friday,Milad un Nabi (Mawlid),Muslim
15/06/2002,Saturday,School holiday,Observance
16/06/2002,Sunday,Youth Day,Public Holiday
17/06/2002,Monday,Day off for Youth Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
09/08/2002,Friday,National Women's Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
24/09/2002,Tuesday,Heritage Day,Public Holiday
04/10/2002,Friday,Isra and Mi'raj,Muslim
01/12/2002,Sunday,Laylatul Qadr (Night of Power),Muslim
06/12/2002,Friday,Eid ul Fitr,Muslim
16/12/2002,Monday,Day of Reconciliation,Public Holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,"Observance, Christian"
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Day of Goodwill,Public Holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,Public Holiday
02/01/2003,Thursday,Tweede Nuwe Jaar,Observance
12/02/2003,Wednesday,Eid al-Adha,Muslim
05/03/2003,Wednesday,Muharram/Islamic New Year,Muslim
21/03/2003,Friday,Human Rights Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
19/04/2003,Saturday,Holy Saturday,"Observance, Christian"
20/04/2003,Sunday,Easter Sunday,"Observance, Christian"
21/04/2003,Monday,Family Day,Public Holiday
27/04/2003,Sunday,Freedom Day,Public Holiday
28/04/2003,Monday,Freedom Day observed,Public Holiday
01/05/2003,Thursday,Workers' Day,Public Holiday
14/05/2003,Wednesday,Milad un Nabi (Mawlid),Muslim
15/06/2003,Sunday,School holiday,Observance
16/06/2003,Monday,Youth Day,Public Holiday
16/06/2003,Monday,School holiday observed,Observance
21/06/2003,Saturday,June Solstice,Season
09/08/2003,Saturday,National Women's Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
24/09/2003,Wednesday,Isra and Mi'raj,Muslim
24/09/2003,Wednesday,Heritage Day,Public Holiday
21/11/2003,Friday,Laylatul Qadr (Night of Power),Muslim
26/11/2003,Wednesday,Eid ul Fitr,Muslim
16/12/2003,Tuesday,Day of Reconciliation,Public Holiday
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,"Observance, Christian"
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Day of Goodwill,Public Holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,Public Holiday
02/01/2004,Friday,Tweede Nuwe Jaar,Observance
02/02/2004,Monday,Eid al-Adha,Muslim
22/02/2004,Sunday,Muharram/Islamic New Year,Muslim
20/03/2004,Saturday,March Equinox,Season
21/03/2004,Sunday,Human Rights Day,Public Holiday
22/03/2004,Monday,Day off for Human Rights Day,Public Holiday
09/04/2004,Friday,Good Friday,Public Holiday
10/04/2004,Saturday,Holy Saturday,"Observance, Christian"
11/04/2004,Sunday,Easter Sunday,"Observance, Christian"
12/04/2004,Monday,Family Day,Public Holiday
27/04/2004,Tuesday,Freedom Day,Public Holiday
01/05/2004,Saturday,Workers' Day,Public Holiday
02/05/2004,Sunday,Milad un Nabi (Mawlid),Muslim
15/06/2004,Tuesday,School holiday,Observance
16/06/2004,Wednesday,Youth Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
09/08/2004,Monday,National Women's Day,Public Holiday
12/09/2004,Sunday,Isra and Mi'raj,Muslim
22/09/2004,Wednesday,September Equinox,Season
24/09/2004,Friday,Heritage Day,Public Holiday
10/11/2004,Wednesday,Laylatul Qadr (Night of Power),Muslim
14/11/2004,Sunday,Eid ul Fitr,Muslim
16/12/2004,Thursday,Day of Reconciliation,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
24/12/2004,Friday,Christmas Eve,"Observance, Christian"
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Day of Goodwill,Public Holiday
27/12/2004,Monday,Day of Goodwill observed,Public Holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,Public Holiday
02/01/2005,Sunday,Tweede Nuwe Jaar,Observance
21/01/2005,Friday,Eid al-Adha,Muslim
10/02/2005,Thursday,Muharram/Islamic New Year,Muslim
20/03/2005,Sunday,March Equinox,Season
21/03/2005,Monday,Human Rights Day,Public Holiday
25/03/2005,Friday,Good Friday,Public Holiday
26/03/2005,Saturday,Holy Saturday,"Observance, Christian"
27/03/2005,Sunday,Easter Sunday,"Observance, Christian"
28/03/2005,Monday,Family Day,Public Holiday
21/04/2005,Thursday,Milad un Nabi (Mawlid),Muslim
27/04/2005,Wednesday,Freedom Day,Public Holiday
01/05/2005,Sunday,Workers' Day,Public Holiday
02/05/2005,Monday,Day off for Workers' Day,Public Holiday
15/06/2005,Wednesday,School holiday,Observance
16/06/2005,Thursday,Youth Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
09/08/2005,Tuesday,National Women's Day,Public Holiday
01/09/2005,Thursday,Isra and Mi'raj,Muslim
23/09/2005,Friday,September Equinox,Season
24/09/2005,Saturday,Heritage Day,Public Holiday
30/10/2005,Sunday,Laylatul Qadr (Night of Power),Muslim
04/11/2005,Friday,Eid ul Fitr,Muslim
16/12/2005,Friday,Day of Reconciliation,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
24/12/2005,Saturday,Christmas Eve,"Observance, Christian"
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Day off for Christmas Day,Public Holiday
26/12/2005,Monday,Day of Goodwill,Public Holiday
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,Public Holiday
02/01/2006,Monday,Day off for New Year's Day,Public Holiday
02/01/2006,Monday,Tweede Nuwe Jaar,Observance
10/01/2006,Tuesday,Eid al-Adha,Muslim
31/01/2006,Tuesday,Muharram/Islamic New Year,Muslim
20/03/2006,Monday,March Equinox,Season
21/03/2006,Tuesday,Human Rights Day,Public Holiday
11/04/2006,Tuesday,Milad un Nabi (Mawlid),Muslim
14/04/2006,Friday,Good Friday,Public Holiday
15/04/2006,Saturday,Holy Saturday,"Observance, Christian"
16/04/2006,Sunday,Easter Sunday,"Observance, Christian"
17/04/2006,Monday,Family Day,Public Holiday
27/04/2006,Thursday,Freedom Day,Public Holiday
01/05/2006,Monday,Workers' Day,Public Holiday
15/06/2006,Thursday,School holiday,Observance
16/06/2006,Friday,Youth Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
09/08/2006,Wednesday,National Women's Day,Public Holiday
22/08/2006,Tuesday,Isra and Mi'raj,Muslim
23/09/2006,Saturday,September Equinox,Season
24/09/2006,Sunday,Heritage Day,Public Holiday
25/09/2006,Monday,Day off for Heritage Day,Public Holiday
19/10/2006,Thursday,Laylatul Qadr (Night of Power),Muslim
24/10/2006,Tuesday,Eid ul Fitr,Muslim
