Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
16/02/2015,Monday,Birth date of Kim Jong Il,Public Holiday
19/02/2015,Thursday,Seollal,Public Holiday
05/03/2015,Thursday,Cheongwoldaeboreum,Public Holiday
08/03/2015,Sunday,International Women's Day,Public Holiday
21/03/2015,Saturday,March Equinox,Season
15/04/2015,Wednesday,Birth Date of Kim Il Sung,Public Holiday
25/04/2015,Saturday,Chosun People's Army Foundation Day,Public Holiday
01/05/2015,Friday,May Day,Public Holiday
06/06/2015,Saturday,Chosun Children's Union Foundation Day,Public Holiday
19/06/2015,Friday,Great Leader Kim Jong Il Day,Public Holiday
22/06/2015,Monday,June Solstice,Season
27/07/2015,Monday,Day of Victory in the Fatherland Liberation War,Public Holiday
15/08/2015,Saturday,Liberation Day,Public Holiday
25/08/2015,Tuesday,Day of Songun,Public Holiday
09/09/2015,Wednesday,National Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
27/09/2015,Sunday,Chuseok Harvest Festival,Public Holiday
10/10/2015,Saturday,Party Foundation Day,Public Holiday
14/11/2015,Saturday,Mother's Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,Birth Date of Kim Jong Suk,Public Holiday
27/12/2015,Sunday,Constitution Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
09/02/2016,Tuesday,Seollal,Public Holiday
16/02/2016,Tuesday,Birth date of Kim Jong Il,Public Holiday
22/02/2016,Monday,Cheongwoldaeboreum,Public Holiday
08/03/2016,Tuesday,International Women's Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
15/04/2016,Friday,Birth Date of Kim Il Sung,Public Holiday
25/04/2016,Monday,Chosun People's Army Foundation Day,Public Holiday
01/05/2016,Sunday,May Day,Public Holiday
06/06/2016,Monday,Chosun Children's Union Foundation Day,Public Holiday
19/06/2016,Sunday,Great Leader Kim Jong Il Day,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
27/07/2016,Wednesday,Day of Victory in the Fatherland Liberation War,Public Holiday
15/08/2016,Monday,Liberation Day,Public Holiday
25/08/2016,Thursday,Day of Songun,Public Holiday
09/09/2016,Friday,National Day,Public Holiday
15/09/2016,Thursday,Chuseok Harvest Festival,Public Holiday
22/09/2016,Thursday,September Equinox,Season
10/10/2016,Monday,Party Foundation Day,Public Holiday
16/11/2016,Wednesday,Mother's Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
24/12/2016,Saturday,Birth Date of Kim Jong Suk,Public Holiday
27/12/2016,Tuesday,Constitution Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
