Date,Day,Name,Type
14/01/2014,Tuesday,The Prophet's Birthday,Public Holiday
15/02/2014,Saturday,Liberation Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
28/04/2014,Monday,Afghan Victory Day,Public Holiday
01/05/2014,Thursday,Labor Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
29/06/2014,Sunday,First Day of Ramadan,Public Holiday
29/07/2014,Tuesday,Eid al-Fitr,Public Holiday
30/07/2014,Wednesday,Eid al-Fitr Holiday,Public Holiday
31/07/2014,Thursday,Eid al-Fitr Holiday,Public Holiday
19/08/2014,Tuesday,Independence Day (National Day),Public Holiday
09/09/2014,Tuesday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
04/10/2014,Saturday,Day of Arafat,Public Holiday
05/10/2014,Sunday,Eid al-Qurban,Public Holiday
06/10/2014,Monday,Eid al-Qurban Holiday,Public Holiday
07/10/2014,Tuesday,Eid al-Qurban Holiday,Public Holiday
03/11/2014,Monday,Ashura,Public Holiday
13/12/2014,Saturday,Arba'een,Observance
22/12/2014,Monday,December Solstice,Season
03/01/2015,Saturday,The Prophet's Birthday,Public Holiday
15/02/2015,Sunday,Liberation Day,Public Holiday
21/03/2015,Saturday,Nauruz,Public Holiday
21/03/2015,Saturday,March Equinox,Season
28/04/2015,Tuesday,Afghan Victory Day,Public Holiday
01/05/2015,Friday,Labor Day,Public Holiday
18/06/2015,Thursday,First Day of Ramadan,Public Holiday
21/06/2015,Sunday,June Solstice,Season
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
19/07/2015,Sunday,Eid al-Fitr Holiday,Public Holiday
20/07/2015,Monday,Eid al-Fitr Holiday,Public Holiday
19/08/2015,Wednesday,Independence Day (National Day),Public Holiday
09/09/2015,Wednesday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
20/09/2015,Sunday,Commemoration of the assassination of Burhanuddin Rabbani,Public Holiday
23/09/2015,Wednesday,Eid al-Qurban,Public Holiday
23/09/2015,Wednesday,Day of Arafat,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Qurban,Public Holiday
25/09/2015,Friday,Eid al-Qurban,Public Holiday
25/09/2015,Friday,Eid al-Qurban Holiday,Public Holiday
26/09/2015,Saturday,Eid al-Qurban Holiday,Public Holiday
24/10/2015,Saturday,Ashura,Public Holiday
02/12/2015,Wednesday,Arba'een,Observance
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,The Prophet's Birthday,Public Holiday
15/02/2016,Monday,Liberation Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
21/03/2016,Monday,Nauruz,Public Holiday
28/04/2016,Thursday,Afghan Victory Day,Public Holiday
01/05/2016,Sunday,Labor Day,Public Holiday
07/06/2016,Tuesday,First Day of Ramadan,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,Public Holiday
08/07/2016,Friday,Eid al-Fitr Holiday,Public Holiday
09/07/2016,Saturday,Eid al-Fitr Holiday,Public Holiday
19/08/2016,Friday,Independence Day (National Day),Public Holiday
09/09/2016,Friday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
12/09/2016,Monday,Day of Arafat,Public Holiday
13/09/2016,Tuesday,Eid al-Qurban,Public Holiday
14/09/2016,Wednesday,Eid al-Qurban Holiday,Public Holiday
15/09/2016,Thursday,Eid al-Qurban Holiday,Public Holiday
22/09/2016,Thursday,September Equinox,Season
12/10/2016,Wednesday,Ashura,Public Holiday
20/11/2016,Sunday,Arba'een,Observance
