Date,Day,Name,Type
01/01/2001,Monday,Western New Year's Day,National holiday
02/01/2001,Tuesday,Second Day of Western New Year's Day,National holiday
07/01/2001,Sunday,Christmas Day,"National holiday, Orthodox"
14/01/2001,Sunday,New Year,"Observance, Orthodox"
27/01/2001,Saturday,Spirituality Day/St Sava's Day,Observance
15/02/2001,Thursday,National Day of Serbia,Common local holiday
16/02/2001,Friday,Statehood Day of the Republic of Serbia (Day 2),National holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,"National holiday, Orthodox"
14/04/2001,Saturday,Holy Saturday,"National holiday, Orthodox"
15/04/2001,Sunday,Easter Day,"National holiday, Orthodox"
16/04/2001,Monday,Easter Monday,"National holiday, Orthodox"
27/04/2001,Friday,Constitution Day,National holiday
01/05/2001,Tuesday,Labor holiday,National holiday
02/05/2001,Wednesday,Labor Day Holiday,National holiday
09/05/2001,Wednesday,Victory Day,Observance
21/06/2001,Thursday,June Solstice,Season
28/06/2001,Thursday,St Vitus' Day,Observance
13/07/2001,Friday,National Day of Montenegro,Common local holiday
23/09/2001,Sunday,September Equinox,Season
21/12/2001,Friday,December Solstice,Season
23/12/2001,Sunday,Mother's Day,"Observance, Orthodox"
30/12/2001,Sunday,Father's Day,"Observance, Orthodox"
31/12/2001,Monday,Western New Year's Eve,Observance
01/01/2002,Tuesday,Western New Year's Day,National holiday
02/01/2002,Wednesday,Second Day of Western New Year's Day,National holiday
07/01/2002,Monday,Christmas Day,"National holiday, Orthodox"
14/01/2002,Monday,New Year,"Observance, Orthodox"
27/01/2002,Sunday,Spirituality Day/St Sava's Day,Observance
15/02/2002,Friday,National Day of Serbia,Common local holiday
16/02/2002,Saturday,Statehood Day of the Republic of Serbia (Day 2),National holiday
20/03/2002,Wednesday,March Equinox,Season
27/04/2002,Saturday,Constitution Day,National holiday
01/05/2002,Wednesday,Labor holiday,National holiday
02/05/2002,Thursday,Labor Day Holiday,National holiday
03/05/2002,Friday,Good Friday,"National holiday, Orthodox"
04/05/2002,Saturday,Holy Saturday,"National holiday, Orthodox"
05/05/2002,Sunday,Easter Day,"National holiday, Orthodox"
06/05/2002,Monday,Easter Monday,"National holiday, Orthodox"
09/05/2002,Thursday,Victory Day,Observance
21/06/2002,Friday,June Solstice,Season
28/06/2002,Friday,St Vitus' Day,Observance
13/07/2002,Saturday,National Day of Montenegro,Common local holiday
23/09/2002,Monday,September Equinox,Season
22/12/2002,Sunday,December Solstice,Season
29/12/2002,Sunday,Mother's Day,"Observance, Orthodox"
31/12/2002,Tuesday,Western New Year's Eve,Observance
01/01/2003,Wednesday,Western New Year's Day,National holiday
02/01/2003,Thursday,Second Day of Western New Year's Day,National holiday
05/01/2003,Sunday,Father's Day,"Observance, Orthodox"
07/01/2003,Tuesday,Christmas Day,"National holiday, Orthodox"
14/01/2003,Tuesday,New Year,"Observance, Orthodox"
27/01/2003,Monday,Spirituality Day/St Sava's Day,Observance
15/02/2003,Saturday,National Day of Serbia,Common local holiday
17/02/2003,Monday,Statehood Day of the Republic of Serbia (Day 2),National holiday
21/03/2003,Friday,March Equinox,Season
25/04/2003,Friday,Good Friday,"National holiday, Orthodox"
26/04/2003,Saturday,Holy Saturday,"National holiday, Orthodox"
27/04/2003,Sunday,Constitution Day,National holiday
27/04/2003,Sunday,Easter Day,"National holiday, Orthodox"
28/04/2003,Monday,Easter Monday,"National holiday, Orthodox"
01/05/2003,Thursday,Labor holiday,National holiday
02/05/2003,Friday,Labor Day Holiday,National holiday
09/05/2003,Friday,Victory Day,Observance
21/06/2003,Saturday,June Solstice,Season
28/06/2003,Saturday,St Vitus' Day,Observance
13/07/2003,Sunday,National Day of Montenegro,Common local holiday
23/09/2003,Tuesday,September Equinox,Season
22/12/2003,Monday,December Solstice,Season
28/12/2003,Sunday,Mother's Day,"Observance, Orthodox"
31/12/2003,Wednesday,Western New Year's Eve,Observance
01/01/2004,Thursday,Western New Year's Day,National holiday
02/01/2004,Friday,Second Day of Western New Year's Day,National holiday
04/01/2004,Sunday,Father's Day,"Observance, Orthodox"
07/01/2004,Wednesday,Christmas Day,"National holiday, Orthodox"
14/01/2004,Wednesday,New Year,"Observance, Orthodox"
27/01/2004,Tuesday,Spirituality Day/St Sava's Day,Observance
15/02/2004,Sunday,National Day of Serbia,Common local holiday
17/02/2004,Tuesday,Statehood Day of the Republic of Serbia (Day 2),National holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,"National holiday, Orthodox"
10/04/2004,Saturday,Holy Saturday,"National holiday, Orthodox"
11/04/2004,Sunday,Easter Day,"National holiday, Orthodox"
12/04/2004,Monday,Easter Monday,"National holiday, Orthodox"
27/04/2004,Tuesday,Constitution Day,National holiday
01/05/2004,Saturday,Labor holiday,National holiday
03/05/2004,Monday,Labor Day Holiday,National holiday
09/05/2004,Sunday,Victory Day,Observance
21/06/2004,Monday,June Solstice,Season
28/06/2004,Monday,St Vitus' Day,Observance
13/07/2004,Tuesday,National Day of Montenegro,Common local holiday
22/09/2004,Wednesday,September Equinox,Season
21/12/2004,Tuesday,December Solstice,Season
26/12/2004,Sunday,Mother's Day,"Observance, Orthodox"
31/12/2004,Friday,Western New Year's Eve,Observance
01/01/2005,Saturday,Western New Year's Day,National holiday
02/01/2005,Sunday,Father's Day,"Observance, Orthodox"
02/01/2005,Sunday,Second Day of Western New Year's Day,National holiday
03/01/2005,Monday,Day off for Second Day of Western New Year's Day,National holiday
07/01/2005,Friday,Christmas Day,"National holiday, Orthodox"
14/01/2005,Friday,New Year,"Observance, Orthodox"
27/01/2005,Thursday,Spirituality Day/St Sava's Day,Observance
15/02/2005,Tuesday,National Day of Serbia,Common local holiday
16/02/2005,Wednesday,Statehood Day of the Republic of Serbia (Day 2),National holiday
20/03/2005,Sunday,March Equinox,Season
27/04/2005,Wednesday,Constitution Day,National holiday
29/04/2005,Friday,Good Friday,"National holiday, Orthodox"
30/04/2005,Saturday,Holy Saturday,"National holiday, Orthodox"
01/05/2005,Sunday,Labor holiday,National holiday
01/05/2005,Sunday,Easter Day,"National holiday, Orthodox"
02/05/2005,Monday,Easter Monday,"National holiday, Orthodox"
02/05/2005,Monday,Day off for Labor holiday,National holiday
03/05/2005,Tuesday,Labor Day Holiday,National holiday
09/05/2005,Monday,Victory Day,Observance
21/06/2005,Tuesday,June Solstice,Season
28/06/2005,Tuesday,St Vitus' Day,Observance
13/07/2005,Wednesday,National Day of Montenegro,Common local holiday
23/09/2005,Friday,September Equinox,Season
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Mother's Day,"Observance, Orthodox"
31/12/2005,Saturday,Western New Year's Eve,Observance
01/01/2006,Sunday,Father's Day,"Observance, Orthodox"
01/01/2006,Sunday,Western New Year's Day,National holiday
02/01/2006,Monday,Second Day of Western New Year's Day,National holiday
03/01/2006,Tuesday,Day off for Western New Year's Day,National holiday
07/01/2006,Saturday,Christmas Day,"National holiday, Orthodox"
14/01/2006,Saturday,New Year,"Observance, Orthodox"
27/01/2006,Friday,Spirituality Day/St Sava's Day,Observance
15/02/2006,Wednesday,National Day of Serbia,Common local holiday
16/02/2006,Thursday,Statehood Day of the Republic of Serbia (Day 2),National holiday
20/03/2006,Monday,March Equinox,Season
21/04/2006,Friday,Good Friday,"National holiday, Orthodox"
22/04/2006,Saturday,Holy Saturday,"National holiday, Orthodox"
23/04/2006,Sunday,Easter Day,"National holiday, Orthodox"
24/04/2006,Monday,Easter Monday,"National holiday, Orthodox"
27/04/2006,Thursday,Constitution Day,National holiday
01/05/2006,Monday,Labor holiday,National holiday
02/05/2006,Tuesday,Labor Day Holiday,National holiday
09/05/2006,Tuesday,Victory Day,Observance
21/06/2006,Wednesday,June Solstice,Season
28/06/2006,Wednesday,St Vitus' Day,Observance
13/07/2006,Thursday,National Day of Montenegro,Common local holiday
23/09/2006,Saturday,September Equinox,Season
22/12/2006,Friday,December Solstice,Season
24/12/2006,Sunday,Mother's Day,"Observance, Orthodox"
31/12/2006,Sunday,Father's Day,"Observance, Orthodox"
31/12/2006,Sunday,Western New Year's Eve,Observance
01/01/2007,Monday,Western New Year's Day,National holiday
02/01/2007,Tuesday,Second Day of Western New Year's Day,National holiday
07/01/2007,Sunday,Christmas Day,"National holiday, Orthodox"
14/01/2007,Sunday,New Year,"Observance, Orthodox"
27/01/2007,Saturday,Spirituality Day/St Sava's Day,Observance
15/02/2007,Thursday,Statehood Day of the Republic of Serbia,National holiday
16/02/2007,Friday,Statehood Day of the Republic of Serbia (Day 2),National holiday
21/03/2007,Wednesday,March Equinox,Season
06/04/2007,Friday,Good Friday,"National holiday, Orthodox"
07/04/2007,Saturday,Holy Saturday,"National holiday, Orthodox"
08/04/2007,Sunday,Easter Day,"National holiday, Orthodox"
09/04/2007,Monday,Easter Monday,"National holiday, Orthodox"
01/05/2007,Tuesday,Labor holiday,National holiday
02/05/2007,Wednesday,Labor Day Holiday,National holiday
09/05/2007,Wednesday,Victory Day,Observance
21/06/2007,Thursday,June Solstice,Season
28/06/2007,Thursday,St Vitus' Day,Observance
23/09/2007,Sunday,September Equinox,Season
22/12/2007,Saturday,December Solstice,Season
23/12/2007,Sunday,Mother's Day,"Observance, Orthodox"
30/12/2007,Sunday,Father's Day,"Observance, Orthodox"
