Date,Day,Name,Type
08/01/2000,Saturday,Eid-e-Fetr (End of Ramadan),National holiday
01/02/2000,Tuesday,Martyrdom of Imam Sadeq,National holiday
11/02/2000,Friday,Revolution Day,National holiday
16/03/2000,Thursday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
20/03/2000,Monday,March Equinox,Season
24/03/2000,Friday,Eid-e-Ghadir,National holiday
14/04/2000,Friday,Tassoua,National holiday
15/04/2000,Saturday,Ashura,National holiday
25/05/2000,Thursday,Arbaeen,National holiday
02/06/2000,Friday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
03/06/2000,Saturday,Martyrdom of Imam Reza,National holiday
04/06/2000,Sunday,Demise of Imam Khomeini,National holiday
05/06/2000,Monday,Khordad National Uprising,National holiday
20/06/2000,Tuesday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
21/06/2000,Wednesday,June Solstice,Season
03/09/2000,Sunday,Martyrdom of Hazrat Fatima,National holiday
22/09/2000,Friday,September Equinox,Season
12/10/2000,Thursday,Birthday of Imam Ali and Father's Day,National holiday
26/10/2000,Thursday,Prophet's Ascension,National holiday
13/11/2000,Monday,Imam Mahdi's birthday,National holiday
18/12/2000,Monday,Martyrdom of Imam Ali,National holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Eid-e-Fetr (End of Ramadan),National holiday
21/01/2001,Sunday,Martyrdom of Imam Sadeq,National holiday
11/02/2001,Sunday,Revolution Day,National holiday
06/03/2001,Tuesday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
14/03/2001,Wednesday,Eid-e-Ghadir,National holiday
20/03/2001,Tuesday,March Equinox,Season
03/04/2001,Tuesday,Tassoua,National holiday
04/04/2001,Wednesday,Ashura,National holiday
14/05/2001,Monday,Arbaeen,National holiday
22/05/2001,Tuesday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
23/05/2001,Wednesday,Martyrdom of Imam Reza,National holiday
04/06/2001,Monday,Demise of Imam Khomeini,National holiday
05/06/2001,Tuesday,Khordad National Uprising,National holiday
09/06/2001,Saturday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
21/06/2001,Thursday,June Solstice,Season
23/08/2001,Thursday,Martyrdom of Hazrat Fatima,National holiday
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,Birthday of Imam Ali and Father's Day,National holiday
15/10/2001,Monday,Prophet's Ascension,National holiday
02/11/2001,Friday,Imam Mahdi's birthday,National holiday
07/12/2001,Friday,Martyrdom of Imam Ali,National holiday
17/12/2001,Monday,Eid-e-Fetr (End of Ramadan),National holiday
21/12/2001,Friday,December Solstice,Season
10/01/2002,Thursday,Martyrdom of Imam Sadeq,National holiday
11/02/2002,Monday,Revolution Day,National holiday
23/02/2002,Saturday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
03/03/2002,Sunday,Eid-e-Ghadir,National holiday
20/03/2002,Wednesday,March Equinox,Season
23/03/2002,Saturday,Tassoua,National holiday
24/03/2002,Sunday,Ashura,National holiday
03/05/2002,Friday,Arbaeen,National holiday
11/05/2002,Saturday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
12/05/2002,Sunday,Martyrdom of Imam Reza,National holiday
29/05/2002,Wednesday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
04/06/2002,Tuesday,Demise of Imam Khomeini,National holiday
05/06/2002,Wednesday,Khordad National Uprising,National holiday
21/06/2002,Friday,June Solstice,Season
12/08/2002,Monday,Martyrdom of Hazrat Fatima,National holiday
20/09/2002,Friday,Birthday of Imam Ali and Father's Day,National holiday
23/09/2002,Monday,September Equinox,Season
04/10/2002,Friday,Prophet's Ascension,National holiday
22/10/2002,Tuesday,Imam Mahdi's birthday,National holiday
26/11/2002,Tuesday,Martyrdom of Imam Ali,National holiday
06/12/2002,Friday,Eid-e-Fetr (End of Ramadan),National holiday
22/12/2002,Sunday,December Solstice,Season
30/12/2002,Monday,Martyrdom of Imam Sadeq,National holiday
11/02/2003,Tuesday,Revolution Day,National holiday
12/02/2003,Wednesday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
20/02/2003,Thursday,Eid-e-Ghadir,National holiday
13/03/2003,Thursday,Tassoua,National holiday
14/03/2003,Friday,Ashura,National holiday
21/03/2003,Friday,March Equinox,Season
23/04/2003,Wednesday,Arbaeen,National holiday
01/05/2003,Thursday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
02/05/2003,Friday,Martyrdom of Imam Reza,National holiday
19/05/2003,Monday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
04/06/2003,Wednesday,Demise of Imam Khomeini,National holiday
05/06/2003,Thursday,Khordad National Uprising,National holiday
21/06/2003,Saturday,June Solstice,Season
02/08/2003,Saturday,Martyrdom of Hazrat Fatima,National holiday
10/09/2003,Wednesday,Birthday of Imam Ali and Father's Day,National holiday
23/09/2003,Tuesday,September Equinox,Season
24/09/2003,Wednesday,Prophet's Ascension,National holiday
12/10/2003,Sunday,Imam Mahdi's birthday,National holiday
16/11/2003,Sunday,Martyrdom of Imam Ali,National holiday
26/11/2003,Wednesday,Eid-e-Fetr (End of Ramadan),National holiday
20/12/2003,Saturday,Martyrdom of Imam Sadeq,National holiday
22/12/2003,Monday,December Solstice,Season
02/02/2004,Monday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
10/02/2004,Tuesday,Eid-e-Ghadir,National holiday
11/02/2004,Wednesday,Revolution Day,National holiday
01/03/2004,Monday,Tassoua,National holiday
02/03/2004,Tuesday,Ashura,National holiday
20/03/2004,Saturday,March Equinox,Season
11/04/2004,Sunday,Arbaeen,National holiday
19/04/2004,Monday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
20/04/2004,Tuesday,Martyrdom of Imam Reza,National holiday
07/05/2004,Friday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
04/06/2004,Friday,Demise of Imam Khomeini,National holiday
05/06/2004,Saturday,Khordad National Uprising,National holiday
21/06/2004,Monday,June Solstice,Season
21/07/2004,Wednesday,Martyrdom of Hazrat Fatima,National holiday
29/08/2004,Sunday,Birthday of Imam Ali and Father's Day,National holiday
12/09/2004,Sunday,Prophet's Ascension,National holiday
22/09/2004,Wednesday,September Equinox,Season
30/09/2004,Thursday,Imam Mahdi's birthday,National holiday
05/11/2004,Friday,Martyrdom of Imam Ali,National holiday
14/11/2004,Sunday,Eid-e-Fetr (End of Ramadan),National holiday
08/12/2004,Wednesday,Martyrdom of Imam Sadeq,National holiday
21/12/2004,Tuesday,December Solstice,Season
21/01/2005,Friday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
29/01/2005,Saturday,Eid-e-Ghadir,National holiday
11/02/2005,Friday,Revolution Day,National holiday
18/02/2005,Friday,Tassoua,National holiday
19/02/2005,Saturday,Ashura,National holiday
20/03/2005,Sunday,March Equinox,Season
31/03/2005,Thursday,Arbaeen,National holiday
08/04/2005,Friday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
09/04/2005,Saturday,Martyrdom of Imam Reza,National holiday
26/04/2005,Tuesday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
04/06/2005,Saturday,Demise of Imam Khomeini,National holiday
05/06/2005,Sunday,Khordad National Uprising,National holiday
21/06/2005,Tuesday,June Solstice,Season
10/07/2005,Sunday,Martyrdom of Hazrat Fatima,National holiday
18/08/2005,Thursday,Birthday of Imam Ali and Father's Day,National holiday
01/09/2005,Thursday,Prophet's Ascension,National holiday
19/09/2005,Monday,Imam Mahdi's birthday,National holiday
23/09/2005,Friday,September Equinox,Season
25/10/2005,Tuesday,Martyrdom of Imam Ali,National holiday
04/11/2005,Friday,Eid-e-Fetr (End of Ramadan),National holiday
28/11/2005,Monday,Martyrdom of Imam Sadeq,National holiday
21/12/2005,Wednesday,December Solstice,Season
10/01/2006,Tuesday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
18/01/2006,Wednesday,Eid-e-Ghadir,National holiday
08/02/2006,Wednesday,Tassoua,National holiday
09/02/2006,Thursday,Ashura,National holiday
11/02/2006,Saturday,Revolution Day,National holiday
20/03/2006,Monday,March Equinox,Season
21/03/2006,Tuesday,Arbaeen,National holiday
29/03/2006,Wednesday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
30/03/2006,Thursday,Martyrdom of Imam Reza,National holiday
16/04/2006,Sunday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
04/06/2006,Sunday,Demise of Imam Khomeini,National holiday
05/06/2006,Monday,Khordad National Uprising,National holiday
21/06/2006,Wednesday,June Solstice,Season
30/06/2006,Friday,Martyrdom of Hazrat Fatima,National holiday
08/08/2006,Tuesday,Birthday of Imam Ali and Father's Day,National holiday
22/08/2006,Tuesday,Prophet's Ascension,National holiday
09/09/2006,Saturday,Imam Mahdi's birthday,National holiday
23/09/2006,Saturday,September Equinox,Season
14/10/2006,Saturday,Martyrdom of Imam Ali,National holiday
24/10/2006,Tuesday,Eid-e-Fetr (End of Ramadan),National holiday
17/11/2006,Friday,Martyrdom of Imam Sadeq,National holiday
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
08/01/2007,Monday,Eid-e-Ghadir,National holiday
28/01/2007,Sunday,Tassoua,National holiday
29/01/2007,Monday,Ashura,National holiday
11/02/2007,Sunday,Revolution Day,National holiday
10/03/2007,Saturday,Arbaeen,National holiday
18/03/2007,Sunday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
19/03/2007,Monday,Martyrdom of Imam Reza,National holiday
21/03/2007,Wednesday,March Equinox,Season
05/04/2007,Thursday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
04/06/2007,Monday,Demise of Imam Khomeini,National holiday
05/06/2007,Tuesday,Khordad National Uprising,National holiday
19/06/2007,Tuesday,Martyrdom of Hazrat Fatima,National holiday
21/06/2007,Thursday,June Solstice,Season
28/07/2007,Saturday,Birthday of Imam Ali and Father's Day,National holiday
11/08/2007,Saturday,Prophet's Ascension,National holiday
29/08/2007,Wednesday,Imam Mahdi's birthday,National holiday
23/09/2007,Sunday,September Equinox,Season
03/10/2007,Wednesday,Martyrdom of Imam Ali,National holiday
13/10/2007,Saturday,Eid-e-Fetr (End of Ramadan),National holiday
06/11/2007,Tuesday,Martyrdom of Imam Sadeq,National holiday
20/12/2007,Thursday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
22/12/2007,Saturday,December Solstice,Season
28/12/2007,Friday,Eid-e-Ghadir,National holiday
18/01/2008,Friday,Tassoua,National holiday
19/01/2008,Saturday,Ashura,National holiday
11/02/2008,Monday,Revolution Day,National holiday
28/02/2008,Thursday,Arbaeen,National holiday
07/03/2008,Friday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
08/03/2008,Saturday,Martyrdom of Imam Reza,National holiday
20/03/2008,Thursday,March Equinox,Season
25/03/2008,Tuesday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
04/06/2008,Wednesday,Demise of Imam Khomeini,National holiday
05/06/2008,Thursday,Khordad National Uprising,National holiday
08/06/2008,Sunday,Martyrdom of Hazrat Fatima,National holiday
21/06/2008,Saturday,June Solstice,Season
17/07/2008,Thursday,Birthday of Imam Ali and Father's Day,National holiday
31/07/2008,Thursday,Prophet's Ascension,National holiday
18/08/2008,Monday,Imam Mahdi's birthday,National holiday
22/09/2008,Monday,Martyrdom of Imam Ali,National holiday
22/09/2008,Monday,September Equinox,Season
02/10/2008,Thursday,Eid-e-Fetr (End of Ramadan),National holiday
26/10/2008,Sunday,Martyrdom of Imam Sadeq,National holiday
09/12/2008,Tuesday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
17/12/2008,Wednesday,Eid-e-Ghadir,National holiday
21/12/2008,Sunday,December Solstice,Season
06/01/2009,Tuesday,Tassoua,National holiday
07/01/2009,Wednesday,Ashura,National holiday
11/02/2009,Wednesday,Revolution Day,National holiday
16/02/2009,Monday,Arbaeen,National holiday
24/02/2009,Tuesday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
25/02/2009,Wednesday,Martyrdom of Imam Reza,National holiday
14/03/2009,Saturday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
20/03/2009,Friday,March Equinox,Season
28/05/2009,Thursday,Martyrdom of Hazrat Fatima,National holiday
04/06/2009,Thursday,Demise of Imam Khomeini,National holiday
05/06/2009,Friday,Khordad National Uprising,National holiday
21/06/2009,Sunday,June Solstice,Season
06/07/2009,Monday,Birthday of Imam Ali and Father's Day,National holiday
20/07/2009,Monday,Prophet's Ascension,National holiday
07/08/2009,Friday,Imam Mahdi's birthday,National holiday
11/09/2009,Friday,Martyrdom of Imam Ali,National holiday
21/09/2009,Monday,Eid-e-Fetr (End of Ramadan),National holiday
23/09/2009,Wednesday,September Equinox,Season
15/10/2009,Thursday,Martyrdom of Imam Sadeq,National holiday
28/11/2009,Saturday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
06/12/2009,Sunday,Eid-e-Ghadir,National holiday
21/12/2009,Monday,December Solstice,Season
26/12/2009,Saturday,Tassoua,National holiday
27/12/2009,Sunday,Ashura,National holiday
05/02/2010,Friday,Arbaeen,National holiday
11/02/2010,Thursday,Revolution Day,National holiday
13/02/2010,Saturday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
14/02/2010,Sunday,Martyrdom of Imam Reza,National holiday
03/03/2010,Wednesday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
20/03/2010,Saturday,March Equinox,Season
17/05/2010,Monday,Martyrdom of Hazrat Fatima,National holiday
04/06/2010,Friday,Demise of Imam Khomeini,National holiday
05/06/2010,Saturday,Khordad National Uprising,National holiday
21/06/2010,Monday,June Solstice,Season
25/06/2010,Friday,Birthday of Imam Ali and Father's Day,National holiday
09/07/2010,Friday,Prophet's Ascension,National holiday
27/07/2010,Tuesday,Imam Mahdi's birthday,National holiday
31/08/2010,Tuesday,Martyrdom of Imam Ali,National holiday
10/09/2010,Friday,Eid-e-Fetr (End of Ramadan),National holiday
23/09/2010,Thursday,September Equinox,Season
04/10/2010,Monday,Martyrdom of Imam Sadeq,National holiday
17/11/2010,Wednesday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
25/11/2010,Thursday,Eid-e-Ghadir,National holiday
16/12/2010,Thursday,Tassoua,National holiday
17/12/2010,Friday,Ashura,National holiday
22/12/2010,Wednesday,December Solstice,Season
26/01/2011,Wednesday,Arbaeen,National holiday
03/02/2011,Thursday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
04/02/2011,Friday,Martyrdom of Imam Reza,National holiday
11/02/2011,Friday,Revolution Day,National holiday
21/02/2011,Monday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
20/03/2011,Sunday,Oil Nationalization Day,National holiday
21/03/2011,Monday,Norooz (Persian New Year),National holiday
21/03/2011,Monday,March Equinox,Season
22/03/2011,Tuesday,Norooz Holiday,National holiday
23/03/2011,Wednesday,Norooz Holiday,National holiday
24/03/2011,Thursday,Norooz Holiday,National holiday
01/04/2011,Friday,Islamic Republic Day,National holiday
02/04/2011,Saturday,Nature Day,National holiday
07/05/2011,Saturday,Martyrdom of Hazrat Fatima,National holiday
04/06/2011,Saturday,Anniversary of Khomeini's Death,National holiday
04/06/2011,Saturday,Demise of Imam Khomeini,National holiday
05/06/2011,Sunday,Revolt of Khordad 15,National holiday
05/06/2011,Sunday,Khordad National Uprising,National holiday
15/06/2011,Wednesday,Birthday of Imam Ali and Father's Day,National holiday
21/06/2011,Tuesday,June Solstice,Season
29/06/2011,Wednesday,Prophet's Ascension,National holiday
17/07/2011,Sunday,Imam Mahdi's birthday,National holiday
21/08/2011,Sunday,Martyrdom of Imam Ali,National holiday
31/08/2011,Wednesday,Eid-e-Fetr (End of Ramadan),National holiday
23/09/2011,Friday,September Equinox,Season
24/09/2011,Saturday,Martyrdom of Imam Sadeq,National holiday
07/11/2011,Monday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
15/11/2011,Tuesday,Eid-e-Ghadir,National holiday
05/12/2011,Monday,Tassoua,National holiday
