Date,Day,Name,Type
01/01/2010,Friday,New Year's Day,National holiday
06/01/2010,Wednesday,Epiphany,National holiday
15/02/2010,Monday,Green Monday,National holiday
20/03/2010,Saturday,March Equinox,Season
25/03/2010,Thursday,Greek Independence Day,National holiday
28/03/2010,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2010,Thursday,Cyprus National Holiday,National holiday
02/04/2010,Friday,Good Friday (Orthodox),"National holiday, Orthodox"
03/04/2010,Saturday,Holy Saturday (Orthodox),"Observance, Orthodox"
04/04/2010,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
05/04/2010,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
06/04/2010,Tuesday,Orthodox Easter Tuesday (banks only),Bank holiday
01/05/2010,Saturday,Labour Day/May Day,National holiday
24/05/2010,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2010,Monday,June Solstice,Season
15/08/2010,Sunday,Assumption of the Virgin Mary,National holiday
23/09/2010,Thursday,September Equinox,Season
01/10/2010,Friday,Cyprus Independence Day,National holiday
28/10/2010,Thursday,Ochi Day,National holiday
31/10/2010,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
22/12/2010,Wednesday,December Solstice,Season
24/12/2010,Friday,Christmas Eve,Observance
25/12/2010,Saturday,Christmas Day,National holiday
26/12/2010,Sunday,Boxing Day,National holiday
31/12/2010,Friday,New Year's Eve,Observance
01/01/2011,Saturday,New Year's Day,National holiday
06/01/2011,Thursday,Epiphany,National holiday
07/03/2011,Monday,Green Monday,National holiday
21/03/2011,Monday,March Equinox,Season
25/03/2011,Friday,Greek Independence Day,National holiday
27/03/2011,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2011,Friday,Cyprus National Holiday,National holiday
22/04/2011,Friday,Good Friday (Orthodox),"National holiday, Orthodox"
23/04/2011,Saturday,Holy Saturday (Orthodox),"Observance, Orthodox"
24/04/2011,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
25/04/2011,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
26/04/2011,Tuesday,Orthodox Easter Tuesday (banks only),Bank holiday
01/05/2011,Sunday,Labour Day/May Day,National holiday
13/06/2011,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2011,Tuesday,June Solstice,Season
15/08/2011,Monday,Assumption of the Virgin Mary,National holiday
23/09/2011,Friday,September Equinox,Season
01/10/2011,Saturday,Cyprus Independence Day,National holiday
28/10/2011,Friday,Ochi Day,National holiday
30/10/2011,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
22/12/2011,Thursday,December Solstice,Season
24/12/2011,Saturday,Christmas Eve,Observance
25/12/2011,Sunday,Christmas Day,National holiday
26/12/2011,Monday,Boxing Day,National holiday
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year's Day,National holiday
06/01/2012,Friday,Epiphany,National holiday
27/02/2012,Monday,Green Monday,National holiday
20/03/2012,Tuesday,March Equinox,Season
25/03/2012,Sunday,Greek Independence Day,National holiday
25/03/2012,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2012,Sunday,Cyprus National Holiday,National holiday
13/04/2012,Friday,Good Friday (Orthodox),"National holiday, Orthodox"
14/04/2012,Saturday,Holy Saturday (Orthodox),"Observance, Orthodox"
15/04/2012,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
16/04/2012,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
17/04/2012,Tuesday,Orthodox Easter Tuesday (banks only),Bank holiday
01/05/2012,Tuesday,Labour Day/May Day,National holiday
04/06/2012,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2012,Thursday,June Solstice,Season
15/08/2012,Wednesday,Assumption of the Virgin Mary,National holiday
22/09/2012,Saturday,September Equinox,Season
01/10/2012,Monday,Cyprus Independence Day,National holiday
28/10/2012,Sunday,Ochi Day,National holiday
28/10/2012,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2012,Friday,December Solstice,Season
24/12/2012,Monday,Christmas Eve,Observance
25/12/2012,Tuesday,Christmas Day,National holiday
26/12/2012,Wednesday,Boxing Day,National holiday
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,National holiday
06/01/2013,Sunday,Epiphany,National holiday
18/03/2013,Monday,Green Monday,National holiday
20/03/2013,Wednesday,March Equinox,Season
25/03/2013,Monday,Greek Independence Day,National holiday
31/03/2013,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2013,Monday,Cyprus National Holiday,National holiday
01/05/2013,Wednesday,Labour Day/May Day,National holiday
03/05/2013,Friday,Good Friday (Orthodox),"National holiday, Orthodox"
04/05/2013,Saturday,Holy Saturday (Orthodox),"Observance, Orthodox"
05/05/2013,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
06/05/2013,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
07/05/2013,Tuesday,Orthodox Easter Tuesday (banks only),Bank holiday
21/06/2013,Friday,June Solstice,Season
24/06/2013,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
15/08/2013,Thursday,Assumption of the Virgin Mary,National holiday
22/09/2013,Sunday,September Equinox,Season
01/10/2013,Tuesday,Cyprus Independence Day,National holiday
27/10/2013,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
28/10/2013,Monday,Ochi Day,National holiday
21/12/2013,Saturday,December Solstice,Season
24/12/2013,Tuesday,Christmas Eve,Observance
25/12/2013,Wednesday,Christmas Day,National holiday
26/12/2013,Thursday,Boxing Day,National holiday
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,National holiday
06/01/2014,Monday,Epiphany,National holiday
03/03/2014,Monday,Green Monday,National holiday
20/03/2014,Thursday,March Equinox,Season
25/03/2014,Tuesday,Greek Independence Day,National holiday
30/03/2014,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2014,Tuesday,Cyprus National Holiday,National holiday
18/04/2014,Friday,Good Friday (Orthodox),"National holiday, Orthodox"
19/04/2014,Saturday,Holy Saturday (Orthodox),"Observance, Orthodox"
20/04/2014,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
21/04/2014,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
22/04/2014,Tuesday,Orthodox Easter Tuesday (banks only),Bank holiday
01/05/2014,Thursday,Labour Day/May Day,National holiday
09/06/2014,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2014,Saturday,June Solstice,Season
15/08/2014,Friday,Assumption of the Virgin Mary,National holiday
23/09/2014,Tuesday,September Equinox,Season
01/10/2014,Wednesday,Cyprus Independence Day,National holiday
26/10/2014,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
28/10/2014,Tuesday,Ochi Day,National holiday
22/12/2014,Monday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Observance
25/12/2014,Thursday,Christmas Day,National holiday
26/12/2014,Friday,Boxing Day,National holiday
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,National holiday
06/01/2015,Tuesday,Epiphany,National holiday
23/02/2015,Monday,Green Monday,National holiday
21/03/2015,Saturday,March Equinox,Season
25/03/2015,Wednesday,Greek Independence Day,National holiday
29/03/2015,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2015,Wednesday,Cyprus National Holiday,National holiday
10/04/2015,Friday,Good Friday (Orthodox),"National holiday, Orthodox"
11/04/2015,Saturday,Holy Saturday (Orthodox),"Observance, Orthodox"
12/04/2015,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
13/04/2015,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
14/04/2015,Tuesday,Orthodox Easter Tuesday (banks only),Bank holiday
01/05/2015,Friday,Labour Day/May Day,National holiday
01/06/2015,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2015,Sunday,June Solstice,Season
15/08/2015,Saturday,Assumption of the Virgin Mary,National holiday
23/09/2015,Wednesday,September Equinox,Season
