Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
13/01/2015,Tuesday,Constitution Day,Observance
14/02/2015,Saturday,Valentine's Day,Observance
19/02/2015,Thursday,Lunar New Year's Day,Public Holiday
19/02/2015,Thursday,Tsagaan Sar,Public Holiday
20/02/2015,Friday,Second Day of Lunar New Year,Public Holiday
21/02/2015,Saturday,Third Day of Lunar New Year,Public Holiday
01/03/2015,Sunday,Patriots' Day,Observance
08/03/2015,Sunday,International Women's Day,Public Holiday
18/03/2015,Wednesday,Soldiers' Day,Observance
21/03/2015,Saturday,March Equinox,Season
28/03/2015,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
07/04/2015,Tuesday,Health Day,Observance
26/04/2015,Sunday,Intellectual Property Day,Observance
15/05/2015,Friday,Family Day,Observance
01/06/2015,Monday,Children's Day,Public Holiday
22/06/2015,Monday,June Solstice,Season
10/07/2015,Friday,Political Flag Day,Observance
11/07/2015,Saturday,Naadam Holiday (National Day),Public Holiday
12/07/2015,Sunday,Naadam Holiday (National Day),Public Holiday
13/07/2015,Monday,Naadam Holiday (National Day),Public Holiday
14/07/2015,Tuesday,Naadam Holiday (National Day),Public Holiday
15/07/2015,Wednesday,Naadam Holiday (National Day),Public Holiday
25/08/2015,Tuesday,Youth's Day,Observance
10/09/2015,Thursday,Repression Victims' Day,Observance
23/09/2015,Wednesday,September Equinox,Season
26/09/2015,Saturday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/10/2015,Thursday,Elders' Day,Observance
29/10/2015,Thursday,Capital City Day,Observance
12/11/2015,Thursday,Genghis Khan Day,Public Holiday
26/11/2015,Thursday,Republic's Day,Public Holiday
10/12/2015,Thursday,Human Rights Day,Observance
22/12/2015,Tuesday,December Solstice,Season
29/12/2015,Tuesday,Independence Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
13/01/2016,Wednesday,Constitution Day,Observance
08/02/2016,Monday,Lunar New Year's Day,Public Holiday
08/02/2016,Monday,Tsagaan Sar,Public Holiday
09/02/2016,Tuesday,Second Day of Lunar New Year,Public Holiday
10/02/2016,Wednesday,Third Day of Lunar New Year,Public Holiday
14/02/2016,Sunday,Valentine's Day,Observance
01/03/2016,Tuesday,Patriots' Day,Observance
08/03/2016,Tuesday,International Women's Day,Public Holiday
18/03/2016,Friday,Soldiers' Day,Observance
20/03/2016,Sunday,March Equinox,Season
26/03/2016,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
07/04/2016,Thursday,Health Day,Observance
26/04/2016,Tuesday,Intellectual Property Day,Observance
15/05/2016,Sunday,Family Day,Observance
01/06/2016,Wednesday,Children's Day,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
10/07/2016,Sunday,Political Flag Day,Observance
15/07/2016,Friday,Naadam Holiday (National Day),Public Holiday
16/07/2016,Saturday,Naadam Holiday (National Day),Public Holiday
17/07/2016,Sunday,Naadam Holiday (National Day),Public Holiday
