Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,Epiphany,Observance
02/02/2000,Wednesday,Feast of Candelaria,Observance
06/03/2000,Monday,Carnival / Shrove Monday,National holiday
07/03/2000,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2000,Sunday,Father Day,Observance
20/03/2000,Monday,March Equinox,Season
23/03/2000,Thursday,Day of the Sea,Observance
12/04/2000,Wednesday,Children's Day,Observance
20/04/2000,Thursday,Maundy Thursday,"Observance, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
27/05/2000,Saturday,Mother's Day,Observance
20/06/2000,Tuesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,National holiday
06/08/2000,Sunday,Independence Day,National holiday
17/08/2000,Thursday,Flag Day,Observance
22/09/2000,Friday,September Equinox,Season
11/10/2000,Wednesday,Bolivian Women's Day,Observance
12/10/2000,Thursday,Indigenous Resistance's Day,Observance
02/11/2000,Thursday,All Saints Day,National holiday
21/12/2000,Thursday,December Solstice,Season
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,Epiphany,Observance
02/02/2001,Friday,Feast of Candelaria,Observance
26/02/2001,Monday,Carnival / Shrove Monday,National holiday
27/02/2001,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2001,Monday,Father Day,Observance
20/03/2001,Tuesday,March Equinox,Season
23/03/2001,Friday,Day of the Sea,Observance
12/04/2001,Thursday,Maundy Thursday,"Observance, Christian"
12/04/2001,Thursday,Children's Day,Observance
13/04/2001,Friday,Good Friday,"National holiday, Christian"
01/05/2001,Tuesday,Labor Day / May Day,National holiday
27/05/2001,Sunday,Mother's Day,Observance
14/06/2001,Thursday,Corpus Christi,National holiday
21/06/2001,Thursday,June Solstice,Season
06/08/2001,Monday,Independence Day,National holiday
17/08/2001,Friday,Flag Day,Observance
22/09/2001,Saturday,September Equinox,Season
11/10/2001,Thursday,Bolivian Women's Day,Observance
12/10/2001,Friday,Indigenous Resistance's Day,Observance
02/11/2001,Friday,All Saints Day,National holiday
21/12/2001,Friday,December Solstice,Season
01/01/2002,Tuesday,New Year's Day,National holiday
06/01/2002,Sunday,Epiphany,Observance
02/02/2002,Saturday,Feast of Candelaria,Observance
11/02/2002,Monday,Carnival / Shrove Monday,National holiday
12/02/2002,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2002,Tuesday,Father Day,Observance
20/03/2002,Wednesday,March Equinox,Season
23/03/2002,Saturday,Day of the Sea,Observance
28/03/2002,Thursday,Maundy Thursday,"Observance, Christian"
29/03/2002,Friday,Good Friday,"National holiday, Christian"
12/04/2002,Friday,Children's Day,Observance
01/05/2002,Wednesday,Labor Day / May Day,National holiday
27/05/2002,Monday,Mother's Day,Observance
30/05/2002,Thursday,Corpus Christi,National holiday
21/06/2002,Friday,June Solstice,Season
06/08/2002,Tuesday,Independence Day,National holiday
17/08/2002,Saturday,Flag Day,Observance
23/09/2002,Monday,September Equinox,Season
11/10/2002,Friday,Bolivian Women's Day,Observance
12/10/2002,Saturday,Indigenous Resistance's Day,Observance
02/11/2002,Saturday,All Saints Day,National holiday
21/12/2002,Saturday,December Solstice,Season
01/01/2003,Wednesday,New Year's Day,National holiday
06/01/2003,Monday,Epiphany,Observance
02/02/2003,Sunday,Feast of Candelaria,Observance
03/03/2003,Monday,Carnival / Shrove Monday,National holiday
04/03/2003,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2003,Wednesday,Father Day,Observance
20/03/2003,Thursday,March Equinox,Season
23/03/2003,Sunday,Day of the Sea,Observance
12/04/2003,Saturday,Children's Day,Observance
17/04/2003,Thursday,Maundy Thursday,"Observance, Christian"
18/04/2003,Friday,Good Friday,"National holiday, Christian"
01/05/2003,Thursday,Labor Day / May Day,National holiday
27/05/2003,Tuesday,Mother's Day,Observance
19/06/2003,Thursday,Corpus Christi,National holiday
21/06/2003,Saturday,June Solstice,Season
06/08/2003,Wednesday,Independence Day,National holiday
17/08/2003,Sunday,Flag Day,Observance
23/09/2003,Tuesday,September Equinox,Season
11/10/2003,Saturday,Bolivian Women's Day,Observance
12/10/2003,Sunday,Indigenous Resistance's Day,Observance
02/11/2003,Sunday,All Saints Day,National holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year's Day,National holiday
06/01/2004,Tuesday,Epiphany,Observance
02/02/2004,Monday,Feast of Candelaria,Observance
23/02/2004,Monday,Carnival / Shrove Monday,National holiday
24/02/2004,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2004,Friday,Father Day,Observance
20/03/2004,Saturday,March Equinox,Season
23/03/2004,Tuesday,Day of the Sea,Observance
08/04/2004,Thursday,Maundy Thursday,"Observance, Christian"
09/04/2004,Friday,Good Friday,"National holiday, Christian"
12/04/2004,Monday,Children's Day,Observance
01/05/2004,Saturday,Labor Day / May Day,National holiday
27/05/2004,Thursday,Mother's Day,Observance
10/06/2004,Thursday,Corpus Christi,National holiday
20/06/2004,Sunday,June Solstice,Season
06/08/2004,Friday,Independence Day,National holiday
17/08/2004,Tuesday,Flag Day,Observance
22/09/2004,Wednesday,September Equinox,Season
11/10/2004,Monday,Bolivian Women's Day,Observance
12/10/2004,Tuesday,Indigenous Resistance's Day,Observance
02/11/2004,Tuesday,All Saints Day,National holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year's Day,National holiday
06/01/2005,Thursday,Epiphany,Observance
02/02/2005,Wednesday,Feast of Candelaria,Observance
07/02/2005,Monday,Carnival / Shrove Monday,National holiday
08/02/2005,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2005,Saturday,Father Day,Observance
20/03/2005,Sunday,March Equinox,Season
23/03/2005,Wednesday,Day of the Sea,Observance
24/03/2005,Thursday,Maundy Thursday,"Observance, Christian"
25/03/2005,Friday,Good Friday,"National holiday, Christian"
12/04/2005,Tuesday,Children's Day,Observance
01/05/2005,Sunday,Labor Day / May Day,National holiday
02/05/2005,Monday,Day off for Labor Day / May Day,National holiday
26/05/2005,Thursday,Corpus Christi,National holiday
27/05/2005,Friday,Mother's Day,Observance
21/06/2005,Tuesday,June Solstice,Season
06/08/2005,Saturday,Independence Day,National holiday
17/08/2005,Wednesday,Flag Day,Observance
22/09/2005,Thursday,September Equinox,Season
11/10/2005,Tuesday,Bolivian Women's Day,Observance
12/10/2005,Wednesday,Indigenous Resistance's Day,Observance
02/11/2005,Wednesday,All Saints Day,National holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,New Year's Day,National holiday
06/01/2006,Friday,Epiphany,Observance
02/02/2006,Thursday,Feast of Candelaria,Observance
27/02/2006,Monday,Carnival / Shrove Monday,National holiday
28/02/2006,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2006,Sunday,Father Day,Observance
20/03/2006,Monday,March Equinox,Season
23/03/2006,Thursday,Day of the Sea,Observance
12/04/2006,Wednesday,Children's Day,Observance
13/04/2006,Thursday,Maundy Thursday,"Observance, Christian"
14/04/2006,Friday,Good Friday,"National holiday, Christian"
01/05/2006,Monday,Labor Day / May Day,National holiday
27/05/2006,Saturday,Mother's Day,Observance
15/06/2006,Thursday,Corpus Christi,National holiday
21/06/2006,Wednesday,June Solstice,Season
06/08/2006,Sunday,Independence Day,National holiday
17/08/2006,Thursday,Flag Day,Observance
23/09/2006,Saturday,September Equinox,Season
11/10/2006,Wednesday,Bolivian Women's Day,Observance
12/10/2006,Thursday,Indigenous Resistance's Day,Observance
02/11/2006,Thursday,All Saints Day,National holiday
21/12/2006,Thursday,December Solstice,Season
01/01/2007,Monday,New Year's Day,National holiday
06/01/2007,Saturday,Epiphany,Observance
02/02/2007,Friday,Feast of Candelaria,Observance
19/02/2007,Monday,Carnival / Shrove Monday,National holiday
20/02/2007,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2007,Monday,Father Day,Observance
20/03/2007,Tuesday,March Equinox,Season
23/03/2007,Friday,Day of the Sea,Observance
05/04/2007,Thursday,Maundy Thursday,"Observance, Christian"
06/04/2007,Friday,Good Friday,"National holiday, Christian"
12/04/2007,Thursday,Children's Day,Observance
01/05/2007,Tuesday,Labor Day / May Day,National holiday
27/05/2007,Sunday,Mother's Day,Observance
07/06/2007,Thursday,Corpus Christi,National holiday
21/06/2007,Thursday,June Solstice,Season
06/08/2007,Monday,Independence Day,National holiday
17/08/2007,Friday,Flag Day,Observance
23/09/2007,Sunday,September Equinox,Season
11/10/2007,Thursday,Bolivian Women's Day,Observance
12/10/2007,Friday,Indigenous Resistance's Day,Observance
02/11/2007,Friday,All Saints Day,National holiday
22/12/2007,Saturday,December Solstice,Season
01/01/2008,Tuesday,New Year's Day,National holiday
06/01/2008,Sunday,Epiphany,Observance
02/02/2008,Saturday,Feast of Candelaria,Observance
04/02/2008,Monday,Carnival / Shrove Monday,National holiday
05/02/2008,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2008,Wednesday,Father Day,Observance
20/03/2008,Thursday,Maundy Thursday,"Observance, Christian"
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,"National holiday, Christian"
23/03/2008,Sunday,Day of the Sea,Observance
12/04/2008,Saturday,Children's Day,Observance
01/05/2008,Thursday,Labor Day / May Day,National holiday
22/05/2008,Thursday,Corpus Christi,National holiday
27/05/2008,Tuesday,Mother's Day,Observance
20/06/2008,Friday,June Solstice,Season
06/08/2008,Wednesday,Independence Day,National holiday
17/08/2008,Sunday,Flag Day,Observance
22/09/2008,Monday,September Equinox,Season
11/10/2008,Saturday,Bolivian Women's Day,Observance
12/10/2008,Sunday,Indigenous Resistance's Day,Observance
02/11/2008,Sunday,All Saints Day,National holiday
21/12/2008,Sunday,December Solstice,Season
01/01/2009,Thursday,New Year's Day,National holiday
06/01/2009,Tuesday,Epiphany,Observance
02/02/2009,Monday,Feast of Candelaria,Observance
23/02/2009,Monday,Carnival / Shrove Monday,National holiday
24/02/2009,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2009,Thursday,Father Day,Observance
20/03/2009,Friday,March Equinox,Season
23/03/2009,Monday,Day of the Sea,Observance
09/04/2009,Thursday,Maundy Thursday,"Observance, Christian"
10/04/2009,Friday,Good Friday,"National holiday, Christian"
12/04/2009,Sunday,Children's Day,Observance
01/05/2009,Friday,Labor Day / May Day,National holiday
27/05/2009,Wednesday,Mother's Day,Observance
11/06/2009,Thursday,Corpus Christi,National holiday
21/06/2009,Sunday,June Solstice,Season
06/08/2009,Thursday,Independence Day,National holiday
17/08/2009,Monday,Flag Day,Observance
22/09/2009,Tuesday,September Equinox,Season
11/10/2009,Sunday,Bolivian Women's Day,Observance
12/10/2009,Monday,Indigenous Resistance's Day,Observance
02/11/2009,Monday,All Saints Day,National holiday
21/12/2009,Monday,December Solstice,Season
01/01/2010,Friday,New Year's Day,National holiday
06/01/2010,Wednesday,Epiphany,Observance
22/01/2010,Friday,Plurinational State Foundation Day,National holiday
02/02/2010,Tuesday,Feast of Candelaria,Observance
15/02/2010,Monday,Carnival / Shrove Monday,National holiday
16/02/2010,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2010,Friday,Father Day,Observance
20/03/2010,Saturday,March Equinox,Season
23/03/2010,Tuesday,Day of the Sea,Observance
01/04/2010,Thursday,Maundy Thursday,"Observance, Christian"
02/04/2010,Friday,Good Friday,"National holiday, Christian"
12/04/2010,Monday,Children's Day,Observance
01/05/2010,Saturday,Labor Day / May Day,National holiday
27/05/2010,Thursday,Mother's Day,Observance
03/06/2010,Thursday,Corpus Christi,National holiday
21/06/2010,Monday,Aymara New Year Day,National holiday
21/06/2010,Monday,June Solstice,Season
06/08/2010,Friday,Independence Day,National holiday
17/08/2010,Tuesday,Flag Day,Observance
22/09/2010,Wednesday,September Equinox,Season
11/10/2010,Monday,Bolivian Women's Day,Observance
12/10/2010,Tuesday,Indigenous Resistance's Day,Observance
02/11/2010,Tuesday,All Saints Day,National holiday
21/12/2010,Tuesday,December Solstice,Season
25/12/2010,Saturday,Christmas Day,"National holiday, Christian"
01/01/2011,Saturday,New Year's Day,National holiday
06/01/2011,Thursday,Epiphany,Observance
22/01/2011,Saturday,Plurinational State Foundation Day,National holiday
02/02/2011,Wednesday,Feast of Candelaria,Observance
07/03/2011,Monday,Carnival / Shrove Monday,National holiday
08/03/2011,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2011,Saturday,Father Day,Observance
20/03/2011,Sunday,March Equinox,Season
23/03/2011,Wednesday,Day of the Sea,Observance
12/04/2011,Tuesday,Children's Day,Observance
21/04/2011,Thursday,Maundy Thursday,"Observance, Christian"
22/04/2011,Friday,Good Friday,"National holiday, Christian"
01/05/2011,Sunday,Labor Day / May Day,National holiday
02/05/2011,Monday,Day off for Labor Day / May Day,National holiday
27/05/2011,Friday,Mother's Day,Observance
21/06/2011,Tuesday,Aymara New Year Day,National holiday
21/06/2011,Tuesday,June Solstice,Season
23/06/2011,Thursday,Corpus Christi,National holiday
06/08/2011,Saturday,Independence Day,National holiday
17/08/2011,Wednesday,Flag Day,Observance
23/09/2011,Friday,September Equinox,Season
11/10/2011,Tuesday,Bolivian Women's Day,Observance
12/10/2011,Wednesday,Indigenous Resistance's Day,Observance
02/11/2011,Wednesday,All Saints Day,National holiday
22/12/2011,Thursday,December Solstice,Season
25/12/2011,Sunday,Christmas Day,"National holiday, Christian"
01/01/2012,Sunday,New Year's Day,National holiday
06/01/2012,Friday,Epiphany,Observance
22/01/2012,Sunday,Plurinational State Foundation Day,National holiday
02/02/2012,Thursday,Feast of Candelaria,Observance
20/02/2012,Monday,Carnival / Shrove Monday,National holiday
21/02/2012,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2012,Monday,Father Day,Observance
20/03/2012,Tuesday,March Equinox,Season
23/03/2012,Friday,Day of the Sea,Observance
05/04/2012,Thursday,Maundy Thursday,"Observance, Christian"
06/04/2012,Friday,Good Friday,"National holiday, Christian"
12/04/2012,Thursday,Children's Day,Observance
01/05/2012,Tuesday,Labor Day / May Day,National holiday
27/05/2012,Sunday,Mother's Day,Observance
07/06/2012,Thursday,Corpus Christi,National holiday
20/06/2012,Wednesday,June Solstice,Season
21/06/2012,Thursday,Aymara New Year Day,National holiday
06/08/2012,Monday,Independence Day,National holiday
17/08/2012,Friday,Flag Day,Observance
22/09/2012,Saturday,September Equinox,Season
11/10/2012,Thursday,Bolivian Women's Day,Observance
12/10/2012,Friday,Indigenous Resistance's Day,Observance
02/11/2012,Friday,All Saints Day,National holiday
21/12/2012,Friday,December Solstice,Season
25/12/2012,Tuesday,Christmas Day,"National holiday, Christian"
01/01/2013,Tuesday,New Year's Day,National holiday
06/01/2013,Sunday,Epiphany,Observance
22/01/2013,Tuesday,Plurinational State Foundation Day,National holiday
02/02/2013,Saturday,Feast of Candelaria,Observance
11/02/2013,Monday,Carnival / Shrove Monday,National holiday
12/02/2013,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2013,Tuesday,Father Day,Observance
20/03/2013,Wednesday,March Equinox,Season
23/03/2013,Saturday,Day of the Sea,Observance
